"","NEGERI","variable","value"
"717","KELANTAN","Minggu.48",44
"718","SARAWAK","Minggu.48",49
"719","SABAH","Minggu.48",18
"720","LABUAN","Minggu.48",0
"721","PERLIS","Minggu.49",2
"722","KEDAH","Minggu.49",22
"723","PULAU PINANG","Minggu.49",42
"724","PERAK","Minggu.49",20
"725","SELANGOR","Minggu.49",132
"726","WPKL/PUTRAJAYA","Minggu.49",28
"727","N.SEMBILAN","Minggu.49",9
"728","MELAKA","Minggu.49",28
"729","JOHOR","Minggu.49",65
"730","PAHANG","Minggu.49",46
"731","TERENGGANU","Minggu.49",30
"732","KELANTAN","Minggu.49",20
"733","SARAWAK","Minggu.49",38
"734","SABAH","Minggu.49",15
"735","LABUAN","Minggu.49",1
"736","PERLIS","Minggu.50",4
"737","KEDAH","Minggu.50",13
"738","PULAU PINANG","Minggu.50",58
"739","PERAK","Minggu.50",36
"740","SELANGOR","Minggu.50",139
"741","WPKL/PUTRAJAYA","Minggu.50",47
"742","N.SEMBILAN","Minggu.50",6
"743","MELAKA","Minggu.50",17
"744","JOHOR","Minggu.50",58
"745","PAHANG","Minggu.50",51
"746","TERENGGANU","Minggu.50",18
"747","KELANTAN","Minggu.50",28
"748","SARAWAK","Minggu.50",29
"749","SABAH","Minggu.50",19
"750","LABUAN","Minggu.50",1
"751","PERLIS","Minggu.51",4
"752","KEDAH","Minggu.51",9
"753","PULAU PINANG","Minggu.51",42
"754","PERAK","Minggu.51",42
"755","SELANGOR","Minggu.51",178
"756","WPKL/PUTRAJAYA","Minggu.51",39
"757","N.SEMBILAN","Minggu.51",7
"758","MELAKA","Minggu.51",23
"759","JOHOR","Minggu.51",45
"760","PAHANG","Minggu.51",42
"761","TERENGGANU","Minggu.51",23
"762","KELANTAN","Minggu.51",22
"763","SARAWAK","Minggu.51",30
"764","SABAH","Minggu.51",13
"765","LABUAN","Minggu.51",0
"766","PERLIS","Minggu.52",1
"767","KEDAH","Minggu.52",9
"768","PULAU PINANG","Minggu.52",37
"769","PERAK","Minggu.52",40
"770","SELANGOR","Minggu.52",188
"771","WPKL/PUTRAJAYA","Minggu.52",40
"772","N.SEMBILAN","Minggu.52",4
"773","MELAKA","Minggu.52",8
"774","JOHOR","Minggu.52",51
"775","PAHANG","Minggu.52",27
"776","TERENGGANU","Minggu.52",18
"777","KELANTAN","Minggu.52",21
"778","SARAWAK","Minggu.52",29
"779","SABAH","Minggu.52",14
"780","LABUAN","Minggu.52",0
